year,city,Unnamed: 0,env_attention,total_water,avg_u10,avg_v10,tobeijing,totianjin,toshijiazhuang,totangshan,toqinhuangdao,tohandan,toxingtai,tobaoding,tozhangjiakou,tochengde,tocangzhou,tolangfang,tohengshui,煤炭占能源消费总量的比重 (%),石油占能源消费总量的比重 (%),天然气占能源消费总量的比重 (%),一次电力及其他能源占能源总量的比重 (%),pm25,第二产业占比,供气总量
2015,北京,12.0,0.4035661426456059,19.951466,0.11698160830726796,-0.7019481424418537,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,0.7121276528720103,0.2400561549601992,-0.923141948096122,-0.7879971974016767,1.0385737518921052,-1.9910265207951459,2.2796770781560083
2016,北京,13.0,0.33477600204440033,26.473827,-0.31875531207044977,-0.8059306572316376,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,0.36261714839495107,0.6721572338885741,-0.6961398297118305,-0.42981665312818723,0.6658712595441446,-2.142146064560593,2.9144245738526937
2017,北京,14.0,0.787446609182626,22.385191,-0.06569689782409849,-0.6461647147114313,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,0.013106643917890265,0.9602246198408223,-0.09080084735371635,-0.21490832656409362,-0.042699668690859824,-2.1883482180685006,3.392177642167363
2018,北京,15.0,0.5044792175669788,20.079018,-0.31310837617065823,-0.6604011392064807,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-0.33640386055917054,0.9602246198408223,0.43887076220963195,0.10745416328204711,-0.36790561454974363,-2.2124118396872023,3.4787405874199413
2019,北京,16.0,0.8132509056585747,15.165022,0.08277059489705862,-0.5808363614649488,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-0.6640699585064147,1.104258312816949,0.7415402533886887,0.42981665312818784,-0.7313995927824751,-2.2489885445476294,4.133178302796533
2020,北京,17.0,0.6242564294834902,13.619531,0.5998428694831536,-0.6137926970582472,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-0.8388252107449443,0.9602246198408223,1.0442097445677454,0.6447249796922815,-1.1937639330945096,-2.4867371261404037,4.172115392944908
2021,北京,18.0,-0.11232312921318231,27.300526,0.03801743454281391,-0.9119330716349789,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-1.057269276043107,0.8161909268647007,1.3468792357468022,0.8954513606837239,-1.1181571856221015,-2.5185011066770904,4.08442643623715
2022,北京,19.0,-0.26427200894246183,15.459021,0.04955499767701448,-0.7200753165403562,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-1.0791136825729237,0.2400561549601992,1.0442097445677454,1.2178138505298652,-1.3062047370278345,-2.3048161467030175,4.212495225556498
2023,北京,20.0,0.4948296818568215,20.71331,0.3315842435044617,-0.5914788155422539,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-1.253868934811455,0.8161909268647007,1.1198771173625093,1.325268013811911,-1.0963475469281376,-2.514650927218098,4.40188556901884
2024,北京,21.0,0.6117927374086652,25.084076,-0.34187952642894526,-0.7147898485041134,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,-1.6033794392885141,-0.04801123099204905,1.3468792357468022,2.005811047931542,-1.2669473873786996,-2.6070552342339126,4.451832981281504
2010,唐山,,-0.9443220608199341,,-0.31463541073423573,0.44379490658127674,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.509811178222892,1.6079287284979022,-0.26875208778485493
2011,唐山,,-0.9443220608199341,,-0.31463541073423573,0.44379490658127674,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.509811178222892,1.6079287284979022,-0.26875208778485493
2012,唐山,,-0.9443220608199341,,-0.31463541073423573,0.44379490658127674,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.509811178222892,1.6079287284979022,-0.26875208778485493
2013,唐山,,-0.9443220608199341,,-0.31463541073423573,0.44379490658127674,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.509811178222892,1.6079287284979022,-0.26875208778485493
2014,唐山,22.0,-0.9443220608199341,11.307451,-0.31463541073423573,0.44379490658127674,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.509811178222892,1.6079287284979022,-0.26875208778485493
2015,唐山,23.0,0.1540231188022761,12.732568,0.15687115454882378,0.05017253931589641,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,0.7121276528720103,0.2400561549601992,-0.923141948096122,-0.7879971974016767,1.2954428298432354,1.516486966346835,-0.3025540297840994
2016,唐山,24.0,-2.089880662703621,17.490381,-0.6452680158720832,0.10791168233069465,156.74983438459066,102.9755761354397,363.8935503452534,0.0,124.19781052809336,466.7159770007327,431.5070043410472,249.79165855293184,311.34930598284086,150.75002159562746,189.46955563218813,129.14112021565015,304.087757808428,0.36261714839495107,0.6721572338885741,-0.6961398297118305,-0.42981665312818723,0.7758887702892512,1.26430021178284,-0.30113303379884476
